Year,ID,Station,Capacity,On-Peak Energy,Off-Peak Energy,CF,Energy,Mbtu,Cold,Warm,Stup Cst,Fuel Cst,VO&M Cst,FO&M Cst,Oper Cst,Tot Cst,Ave Hrt
2016,118,ICE-11,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,119,ICE-12,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,120,151CC-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,121,151CC-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,122,151CC-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,123,151CC-4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,124,151CC-5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,125,LM6000CC-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,126,LM6000CC-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,127,LM6000CC-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,1,PSH-PSH-10-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,2,LS-Li-Ion-100-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,3,LS-Li-Ion-100-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,4,LS-Li-Ion-100-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,,R-GExpDGPVC,1.278,1.315896659,0,11.72191596,1.315896659,1.315896659,,366,0,0,0,0,0,0,999.9999999
2016,,G-GExpDGPVC,0.048,0.03716645,0,8.814902564,0.03716645,0.03716645,,366,0,0,0,0,0,0,999.9999965
2016,,J-GExpDGPVC,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,,R-GExpDGPVUC,1.278,0.748639558,0.001822449,6.685063388,0.750462007,0.750462007,,366,0,0,0,0,0,0,1000
2016,,G-GExpDGPVUC,0.048,0.040374815,6.84486E-05,9.592076434,0.040443264,0.040443264,,366,0,0,0,0,0,0,999.9999965
2016,,J-GExpDGPVUC,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,,WaiverPV2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,1,Honolulu 8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,2,Honolulu 9,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
